preprocessing,model,mean_accuracy,std_accuracy,mean_precision_macro,std_precision_macro,mean_recall_macro,std_recall_macro,mean_f1_macro,std_f1_macro
raw,naive_bayes,0.5996428571428571,0.014101490730285465,0.6526269871344004,0.026447078138901823,0.5996428571428571,0.014101490730285432,0.5527634311494272,0.01623091220171736
raw,knn,0.7489285714285714,0.013102811662745824,0.7409930123164438,0.013812350836759734,0.7489285714285715,0.013102811662745798,0.7396302438611212,0.01386082400267832
raw,decision_tree,0.7360714285714286,0.012545834335893069,0.7346121461577806,0.014031900132568853,0.7360714285714287,0.01254583433589305,0.7343843590944102,0.013069908124227087
raw,random_forest,0.8203571428571429,0.011355795068274747,0.8181771086701877,0.011543252588255292,0.8203571428571429,0.011355795068274764,0.8172679198663533,0.011267024792567599
raw,gradient_boosting,0.7794642857142857,0.015633926021864846,0.7773613256527292,0.01594292331053753,0.7794642857142857,0.015633926021864843,0.7750346407948903,0.015708563070811327
raw,xgboost,0.8271428571428572,0.012289036095775186,0.8255614343942064,0.012582314977351823,0.8271428571428572,0.012289036095775209,0.8247079004237271,0.012233985394169271
scaled,naive_bayes,0.45214285714285724,0.024585855399279596,0.4594321743189065,0.07677164243255236,0.4521428571428571,0.024585855399279582,0.3748390382104516,0.03250109518213167
scaled,knn,0.7333928571428572,0.018814514859218555,0.7279275255481834,0.019904968372049584,0.7333928571428572,0.018814514859218524,0.7279644197073972,0.019858914770716888
scaled,decision_tree,0.7355357142857142,0.012688627802493224,0.734071977320552,0.014171548080033899,0.7355357142857142,0.012688627802493212,0.733887032651142,0.013185511903122966
scaled,random_forest,0.8205357142857143,0.012222689256176854,0.8185087644676955,0.01248561278663256,0.8205357142857143,0.01222268925617688,0.8175393761542512,0.012173534632931662
scaled,gradient_boosting,0.7792857142857144,0.015775044875255554,0.7772062042449207,0.016091757497799418,0.7792857142857144,0.015775044875255557,0.774875106454158,0.015839433677494453
scaled,xgboost,0.8271428571428572,0.012289036095775186,0.8255614343942064,0.012582314977351823,0.8271428571428572,0.012289036095775209,0.8247079004237271,0.012233985394169271
scaled_feature_selection,naive_bayes,0.48464285714285715,0.011742344444838283,0.608886037759939,0.058095238150623736,0.48464285714285715,0.011742344444838283,0.394370043316984,0.012800841303363246
scaled_feature_selection,knn,0.7392857142857143,0.010978875820671004,0.7346273798184356,0.011404874217476433,0.7392857142857144,0.01097887582067104,0.733926148011301,0.01084291993965801
scaled_feature_selection,decision_tree,0.7346428571428573,0.01429017787410182,0.732857804089414,0.014549191821810635,0.7346428571428573,0.014290177874101797,0.7327291453699887,0.014423887352984216
scaled_feature_selection,random_forest,0.8232142857142858,0.011572751247156891,0.8208059764767958,0.0126414574105725,0.8232142857142858,0.011572751247156924,0.8202485292622692,0.012408048542548194
scaled_feature_selection,gradient_boosting,0.7758928571428572,0.017718209530863786,0.7739748712759937,0.017700084516392347,0.7758928571428572,0.01771820953086375,0.7719996494709855,0.018039976476150788
scaled_feature_selection,xgboost,0.8235714285714286,0.009442360047430213,0.8216362434989011,0.009909595995824074,0.8235714285714286,0.009442360047430222,0.8208380315585606,0.009691003751554383
