n_components,model,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_specificity,std_specificity,mean_f1,std_f1,mean_roc_auc,std_roc_auc
5,naive_bayes,0.7646031746031746,0.042615722136819766,0.7967490984862926,0.04440818656503116,0.9273611111111112,0.03379341058202669,0.2733333333333333,0.18961950204437186,0.8559018123437399,0.02357530511198785,0.7515833333333333,0.1143446950077092
5,knn,0.7632539682539683,0.06667899545864614,0.8224724191367765,0.04360566403358897,0.8745833333333335,0.053827463560280585,0.42666666666666664,0.15260697523012798,0.8471863864045053,0.04355480281002296,0.6953935185185186,0.11781263906163908
5,decision_tree,0.7283333333333333,0.062383224240709675,0.8110380069853227,0.03574384943590805,0.832777777777778,0.0645234190425327,0.4133333333333333,0.12220201853215572,0.8208253301155665,0.043673788969545844,0.6230555555555556,0.07527777777777779
5,random_forest,0.7828571428571428,0.05287430008971584,0.8183208269076099,0.04401254589284355,0.9184722222222224,0.05322924594108758,0.3733333333333333,0.18903262505010432,0.864005425475615,0.03320040660301494,0.7149675925925927,0.11474497960169268
5,gradient_boosting,0.7598412698412699,0.05193315082098343,0.8045086735666251,0.04400240174021224,0.9034722222222223,0.051404839866771246,0.3266666666666666,0.18245242911205342,0.8497006772311654,0.031682229897269425,0.732861111111111,0.11522169876483832
5,xgboost,0.738015873015873,0.06460283335193205,0.7968831244802388,0.04162164511454242,0.8763888888888889,0.06675052596084455,0.32,0.16546231527987806,0.8333629726877447,0.04411671869723172,0.6870925925925926,0.10386554996309313
10,naive_bayes,0.7814285714285715,0.05164855947792857,0.8098841407334925,0.05330029314858131,0.9340277777777779,0.041477580215024935,0.32,0.22666666666666668,0.8658551643251888,0.02939954771516852,0.7588055555555555,0.10232496555981616
10,knn,0.7744444444444445,0.07345948744918043,0.8243110624400144,0.050830624044621936,0.8918055555555556,0.07059723725052851,0.42000000000000004,0.18390818965511632,0.8553050266789816,0.05046653896585749,0.7161157407407408,0.09705869061926221
10,decision_tree,0.748015873015873,0.06129969870419016,0.8399326996722503,0.03191060239105917,0.8211111111111112,0.0713969947840771,0.5266666666666666,0.10088497300281037,0.8291327174297527,0.04485370964715522,0.6738888888888888,0.06469539262699078
10,random_forest,0.8161904761904764,0.049381664135936795,0.8373599331857534,0.054240199661565874,0.945138888888889,0.04501050117527444,0.42666666666666664,0.22744962812309308,0.8859452131808458,0.02818578450706384,0.7689583333333333,0.08244569764300774
10,gradient_boosting,0.8146031746031746,0.04678798613168238,0.8391556432047818,0.04906411230638963,0.93875,0.05798989508611623,0.4400000000000001,0.20912516188477495,0.8838508980787948,0.029029239568447857,0.7645092592592593,0.08507664230067939
10,xgboost,0.7945238095238094,0.03984166508372851,0.8323173109182195,0.06001478288568793,0.9206944444444444,0.055159875658997375,0.4133333333333334,0.24549270186029293,0.8710375764301952,0.021918866599898182,0.7584814814814815,0.08274184322353131
25,naive_bayes,0.7534126984126984,0.08959965969458106,0.8077700825565737,0.06870293464759349,0.8898611111111112,0.0790131308434175,0.34,0.2707192067232927,0.8442091922764712,0.05617371151163643,0.7045740740740741,0.15004219913955455
25,knn,0.7645238095238096,0.060762819070595275,0.8239258212689947,0.06099586207899222,0.8808333333333331,0.047701004208183455,0.4133333333333334,0.23437861108329258,0.8495033399646982,0.03647729973847351,0.7366203703703704,0.0945446023925416
25,decision_tree,0.7294444444444445,0.06657632768039559,0.839785473648333,0.0670510797882133,0.7987499999999998,0.07467121865258214,0.5199999999999999,0.2166410241236256,0.8152026874612,0.04676421433829709,0.659375,0.10438738190769613
25,random_forest,0.8026984126984127,0.04342394155214858,0.820363300465319,0.043272892573680805,0.9493055555555557,0.0525258974926408,0.36,0.1818424226264781,0.8784168221458563,0.027363029099832455,0.7779675925925926,0.09147301948136624
25,gradient_boosting,0.793015873015873,0.049945548581723,0.8241450023690063,0.05371376675245369,0.929861111111111,0.0668321153024687,0.38,0.22715633383201095,0.8708051728142584,0.030919590834271968,0.7752592592592593,0.08294192855040092
25,xgboost,0.7946031746031746,0.06528500225376711,0.8326680724012183,0.06460292360071127,0.9186111111111112,0.051879043795979754,0.4200000000000001,0.25482019804821854,0.8711426913835689,0.03817326729334257,0.7751018518518519,0.10336320132856223
50,naive_bayes,0.7530158730158729,0.04657425251930972,0.7920712010914783,0.035718639908345576,0.9140277777777778,0.05546676933083447,0.26666666666666666,0.16865480854231357,0.8472728555368926,0.029677070816399673,0.7263148148148149,0.12029885197294374
50,knn,0.7861904761904761,0.05829979599580025,0.8332134285152188,0.047837244693518854,0.8986111111111112,0.06938052613959776,0.44666666666666666,0.17139946842909923,0.8626590988229829,0.03935756216361148,0.7478101851851852,0.08838626716339798
50,decision_tree,0.7646825396825396,0.0595484076158572,0.8554261512920249,0.05757610558738205,0.8322222222222221,0.06054281211477902,0.56,0.19821424996424675,0.8413977412204708,0.039527784150621935,0.696111111111111,0.09743785610566941
50,random_forest,0.8110317460317461,0.038284006516440636,0.8187658203865101,0.045071323715942906,0.9670833333333334,0.03716439330366675,0.33999999999999997,0.19194906731850625,0.8853145212168899,0.02152520652230717,0.7842500000000001,0.11225643081166171
50,gradient_boosting,0.8080158730158731,0.0610662069614043,0.8377069837582211,0.050363011654873835,0.9277777777777778,0.061111111111111116,0.44666666666666666,0.18867962264113208,0.8788303215973127,0.039743993983266265,0.7838518518518518,0.10999428841637625
50,xgboost,0.8262698412698415,0.05593684350294818,0.8575857985672564,0.05928262955939883,0.929861111111111,0.05898200839929763,0.5133333333333333,0.23103631268217942,0.8896664419113808,0.03472584873938101,0.8046574074074074,0.10356152662870532
100,naive_bayes,0.7445238095238095,0.043916148714497207,0.7891987751691256,0.030753037757715877,0.9027777777777779,0.04901813723284247,0.2666666666666667,0.1398411797560202,0.8412138090438379,0.02808265134410574,0.7162685185185185,0.12882552221860818
100,knn,0.7880952380952381,0.065690126684032,0.8309938987495379,0.05809346619628078,0.9077777777777778,0.07371114795831994,0.42666666666666664,0.20912516188477495,0.8650754577460571,0.04336976768744565,0.7650324074074074,0.09566468890447145
100,decision_tree,0.761031746031746,0.0454845001965007,0.836946422474296,0.03977950889777868,0.8498611111111112,0.045323128276743244,0.4933333333333333,0.14966629547095764,0.842207740348373,0.02981268214898083,0.6715972222222222,0.07375277903322325
100,random_forest,0.7877777777777777,0.04606758320361752,0.8010063589890631,0.05118581178398237,0.9626388888888888,0.04424630311682745,0.26000000000000006,0.22201101073795618,0.8725166807818086,0.025741057762403933,0.7707407407407408,0.12405726807131
100,gradient_boosting,0.8196031746031747,0.06272759015691119,0.8412069693916026,0.05649037790946767,0.9431944444444446,0.05475975165424482,0.44666666666666666,0.22519127672072717,0.8874566196580694,0.038589679948309544,0.8051296296296296,0.0895723741980681
100,xgboost,0.8165079365079366,0.06858520584698509,0.8454198366674929,0.055721311894322216,0.9301388888888888,0.061808052384023336,0.4733333333333333,0.21385353243127253,0.8840440078593146,0.04372534148953938,0.8084074074074075,0.09278499269647275
150,naive_bayes,0.7329365079365079,0.05811263725921813,0.8013627293015846,0.043072154513584336,0.8606944444444447,0.0608582204293484,0.3466666666666667,0.17838784213679537,0.8283966197859298,0.038064763027362544,0.7002407407407407,0.13082014297483435
150,knn,0.793015873015873,0.053177919820754406,0.8282689919367956,0.05400127924669571,0.9208333333333334,0.0654430531827217,0.40666666666666673,0.1987740202116743,0.8695752320400365,0.03462492469161599,0.7768472222222222,0.09511148891283709
150,decision_tree,0.7331746031746033,0.07039355945252429,0.8289382552104121,0.059003053376063486,0.8195833333333333,0.08385588478801145,0.47333333333333333,0.2259793500890439,0.8209023657182432,0.04874906340941041,0.6464583333333334,0.10778102175100848
150,random_forest,0.7711904761904762,0.03347673236708335,0.7855660087966003,0.03300600721527781,0.9604166666666666,0.039240719984962966,0.2,0.15491933384829668,0.8632003878474468,0.018971509486897808,0.7566249999999999,0.11670125231404617
150,gradient_boosting,0.7864285714285714,0.06472556753687464,0.8239257047300527,0.05035344167196234,0.9143055555555556,0.056376059022107926,0.4,0.19550504398153576,0.8654979440655722,0.04136821190990933,0.7971111111111111,0.08321024654641698
150,xgboost,0.818095238095238,0.050733843758326944,0.8374566644311976,0.052188432162123356,0.9477777777777778,0.0548960858979361,0.42666666666666664,0.2215099696778153,0.8870103970250087,0.030518987659794026,0.7966203703703704,0.09635567302237046
250,naive_bayes,0.7328571428571429,0.05650236284265218,0.7993787684261002,0.041462930778321,0.8629166666666668,0.05279257833408493,0.33999999999999997,0.1590248058916875,0.8289144719465147,0.03654244183677483,0.6917314814814814,0.11058588865158815
250,knn,0.8046825396825398,0.055219448138847625,0.8287822709354599,0.051291662117256755,0.9384722222222223,0.05273408278954248,0.4,0.2022100118413747,0.8785165993074804,0.033699639782371414,0.7699583333333334,0.10640096079932362
250,decision_tree,0.6815079365079366,0.06885948644719717,0.8139562710855618,0.06518730991476859,0.7548611111111111,0.09308509066944216,0.4600000000000001,0.21176506899024786,0.778453669554813,0.057144706748135626,0.6074305555555556,0.0972063727160156
250,random_forest,0.7445238095238096,0.049841585784055745,0.7878352371191321,0.04029563132085929,0.9073611111111111,0.05027720226803829,0.25333333333333335,0.1758787461103056,0.8421197371893936,0.030172706846911965,0.7247962962962963,0.13172628358079583
250,gradient_boosting,0.7713492063492063,0.07472334967833291,0.8319126584921379,0.06183406046134798,0.8790277777777777,0.08099604185573699,0.44666666666666666,0.232952069462082,0.8517690331529894,0.0501902293093303,0.7666203703703705,0.08402090064705231
250,xgboost,0.7981746031746032,0.0521834298916161,0.825180951201283,0.05026069572836121,0.9345833333333333,0.05688835313332793,0.38666666666666666,0.2103964511741267,0.8744475108955392,0.032433906307816424,0.7882314814814814,0.09579674959261555
500,naive_bayes,0.7511904761904762,0.003571428571428559,0.7511904761904762,0.003571428571428559,1.0,0.0,0.0,0.0,0.8579150579150578,0.0023166023166023455,0.5,0.0
500,knn,0.8029365079365081,0.051954796038899895,0.8281633956858396,0.049874195849629696,0.93625,0.04644146222482928,0.4000000000000001,0.19321835661585918,0.8773942908400777,0.0311515132119089,0.7674675925925927,0.10230004931582672
500,decision_tree,0.5437301587301587,0.09480885412693099,0.7676460958805233,0.05281716133121451,0.5580555555555555,0.11876713651532304,0.4999999999999999,0.11642832797715319,0.6415748938731171,0.0925072530654615,0.5290277777777778,0.08467541967732349
500,random_forest,0.5907142857142856,0.08640889189568081,0.8333007568301687,0.07142799087953274,0.5743055555555555,0.11228760815176554,0.6399999999999999,0.17435595774162696,0.6733362015353835,0.0790568931762905,0.6331435185185185,0.11381341305511905
500,gradient_boosting,0.666825396825397,0.10822137944514396,0.8710051787107276,0.07980883858453444,0.6580555555555555,0.142986498974165,0.6933333333333334,0.18184242262647807,0.7407272399666011,0.09583786285088516,0.7298333333333333,0.12929253657391607
500,xgboost,0.812857142857143,0.04125579736626758,0.8297741792441222,0.049500801206491495,0.9518055555555556,0.037143625560156164,0.3933333333333333,0.21592179654268864,0.8848798034995629,0.02214265940203518,0.795324074074074,0.07723577962969533
